Dataset,NoItem-Item N,Lambda,Gamma,Recall@20 Validation,NDCG@20 Validation
amazon_books,0,10,2.75,0.1,0.009561134463310604,0
amazon_books,2,5,2.75,0.0001,0.1586810973609914,0
amazon_books,3,10,2.75,0.1,0,0.005321802343822579
amazon_books,4,10,0.2,0.0001,0.14891624778363555,0
amazon_books,5,10,2.75,0.5,0.002555037964484987,0
amazon_books,6,5,2.75,0.0001,0,0.0999588150849891
amazon_books,7,10,2.75,0.5,0,0.0016561681350049599
amazon_books,8,10,0.2,0.0001,0,0.09276373341378803
amazon_books,9,10,2.75,1,0.0007030898872085247,0
amazon_books,10,10,2.75,0.0001,0.15895219649200218,0
amazon_books,11,10,2.75,1,0,0.00048543779692634416
amazon_books,12,10,0.4,0.0001,0.15378939368369599,0
amazon_books,13,10,2.75,1.5,0.0010128973312896919,0
amazon_books,14,10,2.75,0.0001,0,0.10038100897722964
amazon_books,15,10,2.75,1.5,0,0.0003145153697580803
amazon_books,16,10,2.75,2,0.0009773749360091238,0
amazon_books,17,20,2.75,0.0001,0.15752603803349383,0
amazon_books,18,10,0.4,0.0001,0,0.09656990831457725
amazon_books,19,10,2.75,2,0,0.0003420866890851345
amazon_books,20,20,2.75,0.0001,0,0.10018521635139471
amazon_books,21,10,2.75,2.5,0.00039569763388697777,0
amazon_books,22,10,2.75,2.5,0,0.00022106709121991696
amazon_books,23,50,2.75,0.0001,0.157747702804704,0
amazon_books,24,10,0.6,0.0001,0.15667349912893602,0
amazon_books,25,10,2.75,3,0.00045808456209389187,0
amazon_books,26,10,2.75,3,0,0.00013645993620926082
amazon_books,27,50,2.75,0.0001,0,0.10002236054667377
amazon_books,28,10,2.75,3.5,0.0004020863191598142,0
amazon_books,29,10,0.6,0.0001,0,0.09969555705366122
amazon_books,30,10,2.75,3.5,0,0.0003276722478617905
amazon_books,31,10,0.8,0.0001,0.15615208435135988,0
amazon_books,32,10,0.8,0.0001,0,0.0993284022505656
amazon_books,33,10,1,0.0001,0.15914374774098874,0
amazon_books,34,10,1,0.0001,0,0.10007103138727341
amazon_books,35,10,1.2,0.0001,0.157111160420394,0
amazon_books,36,10,1.2,0.0001,0,0.09990217603204883
amazon_books,37,10,1.4,0.0001,0.1594349885366469,0
amazon_books,38,10,1.4,0.0001,0,0.10004198927333163
5,0.0005,0.0001,0.17695895878557458,0
5,0.001,0.0001,0.2772604744802601,0
10,0.001,0.0001,0.2783080851444999,0
10,0.001,0.0001,0.280150726703814,0
10,0.0005,0.0001,0.06742070340862612,0
10,0.0005,0.0001,0.06706635012274265,0
10,0.0005,0.0001,0.06911886325513018,0
